textID,text,selected_text,mood,Sentiment_score_VADER,Sentiment_VADER_label
4303,4303,i leave the nursing home each week feeling so joyful and ready to come back again,joy,leave nursing home week feeling joyful ready come back,0.7717
4304,4304,i feel very agitated and sort of lost,anger,feel agitated sort lost,-0.6486
4305,4305,i was still having some contractions but i was feeling slightly defeated,sadness,still contraction feeling slightly defeated,-0.3197
4306,4306,i know i feel personally offended by this on so many levels,anger,know feel personally offended many level,-0.25
4307,4307,i highly doubt we would see a young jean and scott but considering this would be limited and no reason to have these actors in future movies since it has been announce that we are moving on to aoa in the next feature it feels like a missed opportunity,sadness,highly doubt would see young jean scott considering would limited reason actor future movie since announce moving aoa next feature feel like missed opportunity,-0.1513
4308,4308,im going to go do my anti dance flow now and if i feel eager since ill be on the mat anyhow i might even do a few circuits of grow a spine,joy,im going go anti dance flow feel eager since ill mat anyhow might even circuit grow spine,-0.3818
4309,4309,i feel only love yesterday it brought tears to my eyes to hear him say that today i realize that it was why it was so special to be with them i was surrounded by love,joy,feel love yesterday brought tear eye hear say today realize special surrounded love,0.9022
4310,4310,i have a serious question for some of you why do you feel it is ok to support a healthcare plan that tramples on anothers beliefs,joy,serious question feel ok support healthcare plan trample anothers belief,0.5574
4311,4311,i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo,joy,cant explain truly feel word encapsulate ness currently ecstatic happy bouncy relieved energised mood dance wanting chocolate wanting socialise right smiley lose word express bah emo,0.8832
4312,4312,i feel rejected by someone then what part of myself am i rejecting,sadness,feel rejected someone part rejecting,-0.743
4313,4313,i feel very socially anxious around these ladies,fear,feel socially anxious around lady,-0.25
4314,4314,i watched firefly and serenity again lately as id given up on it with mixed feelings before and it seems to be quite popular,joy,watched firefly serenity lately id given mixed feeling seems quite popular,0.5563
4315,4315,i am feeling very sentimental and i am going to miss college i am thrilled about this new upcoming adventure,sadness,feeling sentimental going miss college thrilled new upcoming adventure,0.7506
4316,4316,i do have a chinese mum a few chinese sisters spent two very important years of my life in china so when someone who knows all this has a conversation like the one below with me i feel pretty hopeless about the power of education,sadness,chinese mum chinese sister spent two important year life china someone know conversation like one feel pretty hopeless power education,0.5423
4317,4317,i don t try to put my light in where i can i m going to feel fester y and grow bitter and dark,anger,try put light going feel fester grow bitter dark,-0.4215
4318,4318,i feel i m doing to my mom what i despised so much when it was done to me,anger,feel mom despised much done,-0.4019
4319,4319,i feel this helps create rich texture and a touch of mystery to an outfit,joy,feel help create rich texture touch mystery outfit,0.8126
4320,4320,im feeling strong healthy motivated and just overall positive about everything,joy,im feeling strong healthy motivated overall positive everything,0.9201
4321,4321,i feel so unimportant today,sadness,feel unimportant today,-0.3182
4322,4322,i don t feel agitated some part of me thinks that i ve finally managed to keep my emotions in check,fear,feel agitated part think finally managed keep emotion check,-0.4588
4323,4323,i don t know about you but i m feeling pretty punished myself right about now,sadness,know feeling pretty punished right,0.1779
4324,4324,i feel completely empty detached and depressed,sadness,feel completely empty detached depressed,-0.7532
4325,4325,i havent been able to squeeze in a run for two weeks so i am feeling really cranky lethargic,anger,havent able squeeze run two week feeling really cranky lethargic,-0.2449
4326,4326,i think is i told my dad and now he feels skeptical about us,fear,think told dad feel skeptical u,-0.3182
4327,4327,i feel someone has been wronged when i feel i have been wronged or when i get riled up against an action i find offensive i unsheathe my sword and good lord you better look out,anger,feel someone wronged feel wronged get riled action find offensive unsheathe sword good lord better look,-0.4588
4328,4328,i woke up emotionally drained and anxious and immediately my defenses rise and i feel irritated that this is my story my life,anger,woke emotionally drained anxious immediately defense rise feel irritated story life,-0.7184
4329,4329,i achieved a specific athletic goal in what i feel is pretty fine form,joy,achieved specific athletic goal feel pretty fine form,0.6124
4330,4330,i do think that men maybe feel that they expect to get rejected because at the same time men might act like they call the shots but women definetly do,sadness,think men maybe feel expect get rejected time men might act like call shot woman definetly,-0.2023
4331,4331,i cannot thank you enough for always finding a way to make me feel better,joy,cannot thank enough always finding way make feel better,0.1999
4332,4332,i am now feeling delighted to have a bigger definition of magic,joy,feeling delighted bigger definition magic,0.5859
4333,4333,im feeling so overwhelmed,surprise,im feeling overwhelmed,0.1779
4334,4334,i thought about it later feeling anxious and worried,fear,thought later feeling anxious worried,-0.4019
4335,4335,i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end,joy,get little twitchy feel like someone depending flawless job done end,0.6743
4336,4336,i feel as one with the trail without being totally punished by it,sadness,feel one trail without totally punished,0.4013
4337,4337,is only friend made yuuki feel special,joy,friend made yuuki feel special,0.7096
4338,4338,i feel like i was assaulted by a titanium hedgehog,fear,feel like assaulted titanium hedgehog,-0.2263
4339,4339,i just feel more dazed and alone in the end,surprise,feel dazed alone end,-0.4019
4340,4340,i hate feeling so despised and detested by someone who i truly care for and completely love,anger,hate feeling despised detested someone truly care completely love,0.6901
4341,4341,i will remember you as someone who i could feel so comfortable around,joy,remember someone could feel comfortable around,0.5106
4342,4342,i just feel discouraged,sadness,feel discouraged,-0.4019
4343,4343,i had thought but i feel scared and somewhat trepidatious nervous and sad,fear,thought feel scared somewhat trepidatious nervous sad,-0.762
4344,4344,im feeling shy im feeling mad im feeling sad,fear,im feeling shy im feeling mad im feeling sad,-0.7003
4345,4345,i wasn t feeling insulted over its idiocy i felt supremely bored and actually wound up fastforwarding through a few scenes,anger,feeling insulted idiocy felt supremely bored actually wound fastforwarding scene,-0.0516
4346,4346,i feel blessed that i am free to be me,love,feel blessed free,0.802
4347,4347,i feel just as determined as ever if not more,joy,feel determined ever,0.34
4348,4348,i must ask if my column makes you feel so hateful why do you keep logging on,anger,must ask column make feel hateful keep logging,-0.4939
4349,4349,i am all about empowering women i truly feel that they are the more intelligent sex but what is enough,joy,empowering woman truly feel intelligent sex enough,0.7096
4350,4350,i dislike feeling needy,sadness,dislike feeling needy,-0.5423
4351,4351,im just thinking back and feeling utterly amazed and grateful that we live in a time when four people who needed a family could find each other despite being thousands of miles apart,surprise,im thinking back feeling utterly amazed grateful live time four people needed family could find despite thousand mile apart,0.8059
4352,4352,i feel so unhappy even with it,sadness,feel unhappy even,-0.4215
4353,4353,i feel like we rushed through this weekend,anger,feel like rushed weekend,0.3612
4354,4354,i feel like i m being punished for all the years of weaning myself off of drama,sadness,feel like punished year weaning drama,-0.128
4355,4355,i feel so impressed with ia,surprise,feel impressed ia,0.4767
4356,4356,i don t know what it feels like to be in love so i m starting to get scared that i don t actually love him,fear,know feel like love starting get scared actually love,0.8402
4357,4357,i need money cause i owe sooooo many people money and i cant pay them back without feeling guilty for taking money from dad,sadness,need money cause owe sooooo many people money cant pay back without feeling guilty taking money dad,0.3089
4358,4358,i have simply not feel like learning those unimportant stuff,sadness,simply feel like learning unimportant stuff,0.0516
4359,4359,i feel like i am not alone,sadness,feel like alone,0.128
4360,4360,i can t help feeling jealous,anger,help feeling jealous,0.0516
4361,4361,im feeling a bit gloomy today because of the weather and because ive got no money to get on the tube to go anywhere pretty like columbia road,sadness,im feeling bit gloomy today weather ive got money get tube go anywhere pretty like columbia road,0.6808
4362,4362,im also feeling a gorgeous nail of the day coming up with a concoction of these three when ive soaked my pale bod in some fake browness so watch out for that coming up very soon,joy,im also feeling gorgeous nail day coming concoction three ive soaked pale bod fake browne watch coming soon,0.34
4363,4363,i could feel my tremors coming on and i started to get real shaky,fear,could feel tremor coming started get real shaky,-0.2263
4364,4364,i resent people shaming me and telling me how to feel a more productive alternative give me the facts and let me think for myself,joy,resent people shaming telling feel productive alternative give fact let think,-0.1779
4365,4365,i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,joy,feeling pretty triumphant held little conversation cashier realize deaf,0.7964
4366,4366,im feeling rotten just talking about it,sadness,im feeling rotten talking,-0.4215
4367,4367,i mention this one doesn t feel fake,sadness,mention one feel fake,-0.4767
4368,4368,i could feel was love and joy and pride when i looked at those two sweet little faces,love,could feel love joy pride looked two sweet little face,0.9246
4369,4369,i feel a bit annoyed and antsy in a good way,anger,feel bit annoyed antsy good way,0.0772
4370,4370,i try to only buy fabrics that i would use in a project or that i feel are really fab,joy,try buy fabric would use project feel really fab,0.5095
4371,4371,i go out with friends but it feels inadequate,sadness,go friend feel inadequate,0.128
4372,4372,im hurting because i feel like my friends are no longer supporting me just because im struggling,love,im hurting feel like friend longer supporting im struggling,0.4767
4373,4373,i only know that i feel useless and it s a nasty feeling,sadness,know feel useless nasty feeling,-0.7096
4374,4374,i dont sleep more and i am still waking a am but what this does is help me get off to sleep quicker and i feel like i am going into a deeper more relaxed sleep,joy,dont sleep still waking help get sleep quicker feel like going deeper relaxed sleep,0.8126
4375,4375,i always feel quite smart when wearing this,joy,always feel quite smart wearing,0.4576
4376,4376,i feel sure a new necklace will come from this afternoon of beach combing,joy,feel sure new necklace come afternoon beach combing,0.3182
4377,4377,i feel so because i feel reluctant,fear,feel feel reluctant,-0.25
4378,4378,im feeling naughty i like to add a little bourbon,love,im feeling naughty like add little bourbon,0.4588
4379,4379,i feel relaxed and comfortable,joy,feel relaxed comfortable,0.7579
4380,4380,i still feel fine but i can tell i am getting weaker,joy,still feel fine tell getting weaker,-0.2732
4381,4381,i feel very confused and cant stop myself from digging in a bit more,fear,feel confused cant stop digging bit,-0.1058
4382,4382,im postponing feeling virtuous about this labor,joy,im postponing feeling virtuous labor,0.5267
4383,4383,i ate feeling hateful towards myself because of a number,anger,ate feeling hateful towards number,-0.34
4384,4384,i am not sure if anyone at all can understand how i feel toward them but i almost feel like one of those troubled teens they often have on maury,sadness,sure anyone understand feel toward almost feel like one troubled teen often maury,0.1335
4385,4385,i believe are sincere on both parts but we have seen time and again that logan probably feels much more devoted to her than she does to him,love,believe sincere part seen time logan probably feel much devoted,0.6597
4386,4386,i was afraid of feeling helpless,sadness,afraid feeling helpless,-0.3612
4387,4387,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,anger,didnt think angry im typing away feeling word evaporate cyberspace pissed happening,-0.2495
4388,4388,i go from your presence from praying for wisdom and patience and feel so instantly furious,anger,go presence praying wisdom patience feel instantly furious,0.296
4389,4389,im feeling generous ahahahaha im so morbidly funny,joy,im feeling generous ahahahaha im morbidly funny,0.7717
4390,4390,i wish to feel your tender bites,love,wish feel tender bite,0.4019
4391,4391,i feel jaded about stpm sigh,sadness,feel jaded stpm sigh,-0.3612
4392,4392,i often find myself in a hostile environment my leaves feel damaged my blossoms die on the vine,sadness,often find hostile environment leaf feel damaged blossom die vine,-0.8555
4393,4393,i murakami but the first that i feel captures what makes him so beloved by his fans,joy,murakami first feel capture make beloved fan,0.6808
4394,4394,i feel homesick nostalgia canaglia,sadness,feel homesick nostalgia canaglia,-0.1779
4395,4395,i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,joy,want something personalized appreciate least feel real sincere giving,0.7964
4396,4396,i enjoy all of these aspects of my life it is hard at times to not feel completely overwhelmed,surprise,enjoy aspect life hard time feel completely overwhelmed,0.5095
4397,4397,i feel like a child who got one lick of the most delicious lollypop ever,joy,feel like child got one lick delicious lollypop ever,0.7351
4398,4398,i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger,hausa feel offended especially crazy motorcyclist getting ground like nothing happened bear resemblance anyone north,-0.2944
4399,4399,i feel like i m running in circles and i m terrified,fear,feel like running circle terrified,-0.3612
4400,4400,i wasnt feeling at all irritated,anger,wasnt feeling irritated,0.2755
4401,4401,i feel like the thing that i call an artistic tendency in myself is really just laziness and narcissism justifying and strengthening each other,joy,feel like thing call artistic tendency really laziness narcissism justifying strengthening,0.6908
4402,4402,i guess im sad because i feel alone in this,sadness,guess im sad feel alone,-0.6249
4403,4403,im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,joy,im huge fan london grammar disclosure eye perfect collaboration definitely help make feel creative,0.9393
4404,4404,i feel at the person who broke in and stole my gift which represents a very nice memory and turning it into something not so nice,sadness,feel person broke stole gift represents nice memory turning something nice,0.6908
4405,4405,i just feel like warner brothers fucked with the final edit and that an even better film will be arriving in director s cut format on blu ray,anger,feel like warner brother fucked final edit even better film arriving director cut format blu ray,-0.2732
4406,4406,im feeling a bit scared to consider putting myself out there by posting my work on a website frequented by professional artists but i decided to suck it up be a big girl and ask for feedback,fear,im feeling bit scared consider putting posting work website frequented professional artist decided suck big girl ask feedback,-0.6486
4407,4407,i do understand my mother and i feel bad that i cant help the way she wants me to because im still trying to help myself,sadness,understand mother feel bad cant help way want im still trying help,-0.8041
4408,4408,i wasnt supposed to be with n to just let it happen so i could feel the hurt and move on and be with who i was supposed to be with,sadness,wasnt supposed n let happen could feel hurt move supposed,-0.5267
4409,4409,i suddenly feel the desire to press my face against the window and silently scream like a doomed urbanite in one of the myriad of disaster movies that always take place in new york,sadness,suddenly feel desire press face window silently scream like doomed urbanite one myriad disaster movie always take place new york,-0.7783
4410,4410,i feel really disgusted with myself more than the pain and agony,anger,feel really disgusted pain agony,-0.8843
4411,4411,i hope that one day they feel as strong and optimist as i do right now in my life,joy,hope one day feel strong optimist right life,0.8625
4412,4412,i am feeling vulnerable worrying that the publishing world doesn t like my stories and won t like this next one if i write it,fear,feeling vulnerable worrying publishing world like story like next one write,0.296
4413,4413,i have also always been afraid of the cold pool but i realized that it actually doesn t feel cold after about laps,anger,also always afraid cold pool realized actually feel cold lap,0
4414,4414,i consider it a social and political duty to defend porn but as the world unravels around this company of sex industry workers i feel doomed is this the inevitable fate of porn personnel,sadness,consider social political duty defend porn world unravels around company sex industry worker feel doomed inevitable fate porn personnel,-0.6369
4415,4415,i want to give up feel distracted or just need to remind myself of what i am working towards,anger,want give feel distracted need remind working towards,-0.2732
4416,4416,i ate great and whats even better is that i feel terrific,joy,ate great whats even better feel terrific,0.8779
4417,4417,i am feeling particularly disheartened and unmotivated today,sadness,feeling particularly disheartened unmotivated today,-0.688
4418,4418,i started to feel uncomfortable buzzy short of breath and very mildly panicky,fear,started feel uncomfortable buzzy short breath mildly panicky,-0.6249
4419,4419,i feel unprotected if i do though,fear,feel unprotected though,-0.3612
4420,4420,i feel a lot more confident about the path ive chosen,joy,feel lot confident path ive chosen,0.4939
4421,4421,i know how you all feel my mil has hated me since day,sadness,know feel mil hated since day,-0.6369
4422,4422,i feel very blessed this year my daughter and her family will be with us and my sister from california is coming over this year too,love,feel blessed year daughter family u sister california coming year,0.5994
4423,4423,i sat silent and open mouthed as he rattled off the reasons why he loved me the special times we had shared which had confirmed his feelings and was amazed that they were the same reasons and times together that made me realize how much i loved him,surprise,sat silent open mouthed rattled reason loved special time shared confirmed feeling amazed reason time together made realize much loved,0.9485
4424,4424,i get a little gripped about timing i feel frantic in my thoughts,fear,get little gripped timing feel frantic thought,-0.4404
4425,4425,i still feel innocent and small,joy,still feel innocent small,0.34
4426,4426,i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,anger,took several deep breath feeling cold air burn way lung exhaling little cloud vapor,0.128
4427,4427,i feel like i should continue with the bridge lessons since continuity is going to be vital if i m to learn this game,joy,feel like continue bridge lesson since continuity going vital learn game,0.5719
4428,4428,i feel delighted to share it,joy,feel delighted share,0.6705
4429,4429,i feel like i ve gone a bit dull and they all agree that s the beauty of real friends they tell you when you re being stupid,sadness,feel like gone bit dull agree beauty real friend tell stupid,0.7096
4430,4430,i feel which is glamorous and my little lacy bottoms have a tiny g string underneath,joy,feel glamorous little lacy bottom tiny g string underneath,0.5106
4431,4431,ive talked with her telling her that sometimes i feel shes not sincere,joy,ive talked telling sometimes feel shes sincere,0.4019
4432,4432,i returned home feeling invigorated and wanting more,joy,returned home feeling invigorated wanting,0.3182
4433,4433,i know i shouldn t be upset shouldn t feel this melancholy that is eating away at my insides leaving tears in my eyes and an ache in my heart,sadness,know upset feel melancholy eating away inside leaving tear eye ache heart,-0.7964
4434,4434,i simply dont want to and it makes me so mad because i want to be able to share these things with you but i feel like were so emotionally far apart now and it makes me mad and makes me unable to go to you,anger,simply dont want make mad want able share thing feel like emotionally far apart make mad make unable go,0.8182
4435,4435,i was planning to make cookies this evening but i am not feeling so good so i will do this tomorrow,joy,planning make cooky evening feeling good tomorrow,0.5267
4436,4436,i was incredibly youthful in my employment in which i had been angry stay when i was feeling i had been offended simply because i wasnt the professional decided on,anger,incredibly youthful employment angry stay feeling offended simply wasnt professional decided,-0.355
4437,4437,i also feel more welcomed at lush than any other job that i have had,joy,also feel welcomed lush job,0.34
4438,4438,i feel irritable and unfulfilled if i dont paint for several days,anger,feel irritable unfulfilled dont paint several day,-0.7096
4439,4439,i am still feeling passionate progressive and motivated but i am no longer trying to do everything and anything that i have never done before,love,still feeling passionate progressive motivated longer trying everything anything never done,0.7845
4440,4440,i feel now i am not giving all of me to christ and i want to be devoted,love,feel giving christ want devoted,0.6597
4441,4441,i feel like a babysitter of year olds who act like naughty year olds,love,feel like babysitter year old act like naughty year old,0.6124
4442,4442,i feel sort of dazed and cross eyed,surprise,feel sort dazed cross eyed,-0.1779
4443,4443,i would have left that exam feeling humiliated and reevaluating everything i know about myself,sadness,would left exam feeling humiliated reevaluating everything know,-0.2263
4444,4444,im wanting you to look at me that it makes people feel ok to ask questions,joy,im wanting look make people feel ok ask question,0.296
4445,4445,i feel so honored to have been a part of this year,joy,feel honored part year,0.5859
4446,4446,i picked up and moved to the czech republic by myself it was chris who sent me a care package with food and music to remind me of home when i was feeling my most homesick,sadness,picked moved czech republic chris sent care package food music remind home feeling homesick,0.4588
4447,4447,i feel can be really popular in the underground if they get themselves out there and thank god for this i m looking at you toby and tunji,joy,feel really popular underground get thank god looking toby tunji,0.7713
4448,4448,i feel this strange bonding with my bed and wardrode have been using both a little more than a decade,fear,feel strange bonding bed wardrode using little decade,-0.2023
4449,4449,i feel ecstatic relived and most of all from the bottom of my heart truely grateful to,joy,feel ecstatic relived bottom heart truely grateful,0.743
4450,4450,i am excercising or running it still feels tender even almost like it is throbbing,love,excercising running still feel tender even almost like throbbing,0.2975
4451,4451,i feel very confident today on my front nine,joy,feel confident today front nine,0.4939
4452,4452,i am in an internet cafe with both kids because i feel neglectful of my blog but this is chaotic,sadness,internet cafe kid feel neglectful blog chaotic,-0.7351
4453,4453,i quit i will screw over everyone in the frame shop which i wouldnt feel bad about besides british,sadness,quit screw everyone frame shop wouldnt feel bad besides british,0.3506
4454,4454,i am i feel like it s important to keep on taking a critical look at ideas like these to make sure that they stay grounded in reality,joy,feel like important keep taking critical look idea like make sure stay grounded reality,0.7003
4455,4455,i never feel hesitant or timid,fear,never feel hesitant timid,0.357
4456,4456,i feel so elegant so marvelous so irresistible in this frock that i will endure the discomfort,joy,feel elegant marvelous irresistible frock endure discomfort,0.765
4457,4457,i didnt know anyone but why did i feel helpless confused angry tired,sadness,didnt know anyone feel helpless confused angry tired,-0.8885
4458,4458,i have lost kg and feeling fab,joy,lost kg feeling fab,0.296
4459,4459,i was transferred to the operating bed i began to feel a little apprehensive,fear,transferred operating bed began feel little apprehensive,0
4460,4460,i feel that i don t have anything to contribute to the conversation about books and that my writing is boring shallow bunk,sadness,feel anything contribute conversation book writing boring shallow bunk,-0.3182
4461,4461,i hope that this does not deeply affend anyone but if it does than maybe you know who i feel now after years of being a faithful catholic to be told you are going to hell anyways because of what you do in the privacy of your own home,joy,hope deeply affend anyone maybe know feel year faithful catholic told going hell anyways privacy home,0.0516
4462,4462,i feel so badly and i know they are suffering so for me to complain about the cold is nonsense i d gladly give them anything i could to help fix the problems there,sadness,feel badly know suffering complain cold nonsense gladly give anything could help fix problem,-0.8402
4463,4463,i remember is the feeling of falling and miyavi s shocked face,surprise,remember feeling falling miyavi shocked face,-0.34
4464,4464,i am suddenly feeling very energetic,joy,suddenly feeling energetic,0.5267
4465,4465,im not being fair to xia by doing it this way if he feels frightened by the work i do it that his fault,fear,im fair xia way feel frightened work fault,-0.5106
4466,4466,i feel like ecstatic i feel joy i feel love and particularly all the devotees have come and that mood is also eagerly moving moving and moving said andri a visitor from abroad,joy,feel like ecstatic feel joy feel love particularly devotee come mood also eagerly moving moving moving said andri visitor abroad,0.9601
4467,4467,i feel bad enough now,sadness,feel bad enough,-0.5423
4468,4468,i leaned my head back and took a deep breath it s awful this feeling is awful it s making me sick,sadness,leaned head back took deep breath awful feeling awful making sick,-0.8316
4469,4469,i look at it like if someone doesnt like me or care about me in a way thats different than just friends i feel unimportant like no one cares about me,sadness,look like someone doesnt like care way thats different friend feel unimportant like one care,0.4843
4470,4470,i often feel real gloomy theres always another large government program on the horizon our freedoms are consistently contracted our wallets are pilfered for the benefit of fat cat corporate bankers and the public continues to vote in the politicians who steal from us every day,sadness,often feel real gloomy there always another large government program horizon freedom consistently contracted wallet pilfered benefit fat cat corporate banker public continues vote politician steal u every day,0.5267
4471,4471,i feel like they just feel guilty for treating me badly and i dont really want to go back as i wont get on the league proper anyway due to my inability to make every practice and service hours despite being a very good skater and having a good attitude toward the practices i can make,sadness,feel like feel guilty treating badly dont really want go back wont get league proper anyway due inability make every practice service hour despite good skater good attitude toward practice make,-0.8847
4472,4472,i do feel a bit fearful that he might be feeling stressed to be drinking so much,fear,feel bit fearful might feeling stressed drinking much,-0.6249
4473,4473,i dont know i feel all mellow and normal and good,joy,dont know feel mellow normal good,0.4404
4474,4474,i hope he makes some friends and feels welcomed,joy,hope make friend feel welcomed,0.8176
4475,4475,i do not want to accept that it s inevitable that we all become grumpy old men and women as we age and i do not want to accept that feeling irritated and annoyed by trivial little things is normal,anger,want accept inevitable become grumpy old men woman age want accept feeling irritated annoyed trivial little thing normal,0.1531
4476,4476,i answered feeling rather skeptical,fear,answered feeling rather skeptical,-0.2023
4477,4477,i wasnt feeling particularly bitter on my birthday in fact i had a fantastic day,anger,wasnt feeling particularly bitter birthday fact fantastic day,0.6984
4478,4478,i feel more satisfied with what i eat i feel full longer and i dont feel like snacking later,joy,feel satisfied eat feel full longer dont feel like snacking later,0.1754
4479,4479,i miss the way he made me feel im at a point now where ive accepted that he betrayed me and i can never go back to him,joy,miss way made feel im point ive accepted betrayed never go back,-0.5423
4480,4480,i feel content without knowing the rest of their story,joy,feel content without knowing rest story,0
4481,4481,i really feel irritated with all these,anger,really feel irritated,-0.507
4482,4482,i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger,feel like im bitter old lady long life cant deal anymore,-0.0772
4483,4483,i was feeling a little disappointed in how little my hair had improved and the stickiness that was lingering,sadness,feeling little disappointed little hair improved stickiness lingering,0.1317
4484,4484,im feeling a bit lonely without comments to respond to c,sadness,im feeling bit lonely without comment respond c,-0.25
4485,4485,i feel so lame complaining that for minutes i get some blurry vision and then have to take it easy the rest of the day,sadness,feel lame complaining minute get blurry vision take easy rest day,-0.0258
4486,4486,i feel all rushed to get ready for tomorrow,anger,feel rushed get ready tomorrow,0.3612
4487,4487,i feel very strongly about supporting hence why we are running the mile,love,feel strongly supporting hence running mile,0.6124
4488,4488,i remember feeling embarrassed that not only someone recognized me but called me such a name,sadness,remember feeling embarrassed someone recognized called name,-0.25
4489,4489,i sat with dave atell at first trying not to feel rude while the guys were eating,anger,sat dave atell first trying feel rude guy eating,-0.4588
4490,4490,i feel it is my solemn duty to share this divine knowledge of mine in order that others may benefit from it s truth and beauty and render their world just a tad closer to thearchitecturality that utopian perfectly set garage society to which we all strive,joy,feel solemn duty share divine knowledge mine order others may benefit truth beauty render world tad closer thearchitecturality utopian perfectly set garage society strive,0.9571
4491,4491,i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,anger,still really feel like kind hated picture soooo glad took,0.6419
4492,4492,i used to feel guilty about the large portion of my time and income devoted to various craft hobbies but eventually i realised that i am stress busting and its cheaper than therapy,sadness,used feel guilty large portion time income devoted various craft hobby eventually realised stress busting cheaper therapy,-0.4404
4493,4493,i admit that in the past ive done a lot of time scoffing and feeling superior to christians,joy,admit past ive done lot time scoffing feeling superior christian,0.7003
4494,4494,i love doing kim kardashion make up tutorials i always feel so glamorous with all that make up on,joy,love kim kardashion make tutorial always feel glamorous make,0.8176
4495,4495,i feel glad that justice will be served west said,joy,feel glad justice served west said,0.7506
4496,4496,i feel relieved because finally i can move on without a single tear shed,joy,feel relieved finally move without single tear shed,0.3818
4497,4497,i just want to say all the things i want to say without feeling embarrassed or making other people upset,sadness,want say thing want say without feeling embarrassed making people upset,-0.067
4498,4498,i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,feel like im back element pleased surrounded adorable tiny garment,0.8225
4499,4499,i was already feeling exhausted and it was a matter of survival from that point onwards,sadness,already feeling exhausted matter survival point onwards,-0.2263
4500,4500,i feel the pain again until i came from school and its still aching,sadness,feel pain came school still aching,-0.7579
4501,4501,i feel like a tranny a lot of the time a title blake lively feels like a tranny href http www,joy,feel like tranny lot time title blake lively feel like tranny href http www,0.7845
4502,4502,i have these great feelings of fear and trepidation that these children will be abused because i know what the statistics are,sadness,great feeling fear trepidation child abused know statistic,-0.2263
4503,4503,im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy,im feeling invigorated ready whats ahead excited share information,0.8126
4504,4504,i feel we should not be threatened by the idea of caring and should care far more often,fear,feel threatened idea caring care far often,0.5267
4505,4505,i didnt feel there was anything special about it,joy,didnt feel anything special,-0.3089
4506,4506,i am feeling a little dissatisfied with my pictures for the last couple of months,anger,feeling little dissatisfied picture last couple month,-0.204
4507,4507,i feel like i have to be a perfect person because trust me i dont want to be perfect,joy,feel like perfect person trust dont want perfect,0.9182
4508,4508,i feel humiliated and i don t want to face the world,sadness,feel humiliated want face world,-0.2732
4509,4509,i didnt expect to feel so disheartened about his departure but i really really do,sadness,didnt expect feel disheartened departure really really,0.3875
4510,4510,i will adjust to it but for now it feels so strange,surprise,adjust feel strange,-0.2023
4511,4511,i remember feeling excited about that particular day because i considered myself a grown up and woop,joy,remember feeling excited particular day considered grown woop,0.4404
4512,4512,i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy,feel entirely free express way feel surroundings life myriad experience continue make,0.5563
4513,4513,i could prepare a bunch of my own dishes made in the safety and control of my home so i can at least feel safe in what ive prepared,joy,could prepare bunch dish made safety control home least feel safe ive prepared,0.765
4514,4514,i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,capable late ive feeling pretty bitter depressed lot gratitude general,0.5423
4515,4515,i was feeling strong and ready,joy,feeling strong ready,0.743
4516,4516,i really feel like i m wading in dangerous waters here but i think dialog is really important too,anger,really feel like wading dangerous water think dialog really important,0.1953
4517,4517,i feel more truthful than usual these days,joy,feel truthful usual day,0.4588
4518,4518,i mean every time i have a negative thought or feeling or reaction i am going to consciously replace it with a positive one,joy,mean every time negative thought feeling reaction going consciously replace positive one,0.1027
4519,4519,im feeling festive tonight,joy,im feeling festive tonight,0.5423
4520,4520,i also feel as it has helped me become an intelligent individual,joy,also feel helped become intelligent individual,0.4588
4521,4521,i watch her silently feeling dazed from my memory loss,surprise,watch silently feeling dazed memory loss,-0.3612
4522,4522,i feel so regretful and bad that i called in,sadness,feel regretful bad called,-0.7506
4523,4523,i feel so blessed just to be her mom,joy,feel blessed mom,0.5994
4524,4524,i feel i am really teaching and students get some lovely finished pieces,love,feel really teaching student get lovely finished piece,0.5859
4525,4525,i get the feeling shes amused by all of this,joy,get feeling shes amused,0.5106
4526,4526,i feel listless and deflated,sadness,feel listless deflated,0
4527,4527,i had a secretary called fran who had landed from dublin on a whim and much to her surprise found herself in a permanent job before she had a chance to feel homesick and head back to holyhead,sadness,secretary called fran landed dublin whim much surprise found permanent job chance feel homesick head back holyhead,0.34
